Type,mean,std,PPL_mean,PPL_std,Burstiness_mean,Burstiness_std
Original,0.1348899279764737,0.25410782486119654,11.651462841033936,5.064013870845787,6.991311196193282,2.9036422683063825
Round 1,0.5921296762302518,0.44657952284845315,,,,
Round 5,0.9327121496200561,0.17339947907424386,19.436950588226317,4.7723009019868385,7.26506445677366,1.2557950826462163
Single-Shot,0.4984505706437631,0.5130638836236215,16.15971965789795,5.169195646841364,5.798522085150435,1.4937956247709518
